Employee_Id,checkInDate,check_in,check_out
40,8/22/2023,11:36:47,20:27:13
41,08/01/2023,12:07:18,20:36:12
41,08/02/2023,11:26:37,20:41:46
41,08/03/2023,13:36:38,20:29:22
41,08/04/2023,11:37:47,20:37:06
41,08/05/2023,11:24:43,20:36:07
41,08/07/2023,11:53:58,-
41,08/08/2023,11:24:21,20:34:53
41,08/09/2023,11:11:50,-
41,08/10/2023,12:36:03,20:30:39
41,08/11/2023,11:33:49,20:53:19
41,08/12/2023,-,20:37:58
41,8/15/2023,12:58:31,20:42:42
41,8/16/2023,11:35:55,20:31:39
41,8/17/2023,11:54:02,20:27:24
41,8/18/2023,13:15:03,20:34:42
41,8/19/2023,11:36:06,20:31:37
41,8/21/2023,-,-
41,8/22/2023,11:28:37,20:51:01
42,08/01/2023,11:55:10,20:28:25
42,08/02/2023,11:49:09,20:48:50
42,08/03/2023,11:54:09,18:25:06
42,08/04/2023,12:11:37,20:39:45
42,08/05/2023,-,-
42,08/07/2023,-,-
42,08/08/2023,-,-
42,08/09/2023,-,-
42,08/10/2023,-,-
42,08/11/2023,-,-
42,08/12/2023,-,-
42,8/15/2023,-,-
42,8/16/2023,-,-
42,8/17/2023,-,-
42,8/18/2023,-,-
42,8/19/2023,-,-
42,8/21/2023,-,-
42,8/22/2023,-,-
43,08/01/2023,-,-
43,08/02/2023,-,-
43,08/03/2023,-,19:28:23
43,08/04/2023,12:23:13,20:19:08
43,08/05/2023,12:17:58,17:03:35
43,08/07/2023,-,19:08:14
43,08/08/2023,-,-
43,08/09/2023,11:34:59,-
43,08/10/2023,12:07:56,19:01:29
43,08/11/2023,12:25:22,19:47:07
43,08/12/2023,12:23:01,18:43:32
43,8/15/2023,11:44:23,-
43,8/16/2023,12:21:46,19:32:44
43,8/17/2023,12:06:47,-
43,8/18/2023,11:33:45,19:36:15
43,8/19/2023,-,-
43,8/21/2023,11:47:11,19:51:15
43,8/22/2023,12:05:34,19:28:08
44,08/01/2023,-,-
44,08/02/2023,-,-
44,08/03/2023,-,-
44,08/04/2023,-,-
44,08/05/2023,-,-
44,08/07/2023,-,-
44,08/08/2023,-,-
44,08/09/2023,-,22:15:09
44,08/10/2023,-,-
44,08/11/2023,-,-
44,08/12/2023,-,-
44,8/15/2023,11:13:24,-
44,8/16/2023,11:18:31,21:15:48
44,8/17/2023,-,-
44,8/18/2023,-,-
44,8/19/2023,-,-
44,8/21/2023,-,-
44,8/22/2023,-,-
45,08/01/2023,14:25:22,22:16:26
45,08/02/2023,13:05:46,22:36:18
45,08/03/2023,12:51:30,0:20:00
45,08/04/2023,12:37:09,0:20:00
45,08/05/2023,14:54:27,22:21:09
45,08/07/2023,14:28:44,0:09:11
45,08/08/2023,14:20:19,1:26:41
45,08/09/2023,15:17:02,1:02:05
45,08/10/2023,14:09:17,5:48:50
45,08/11/2023,-,1:22:45
45,08/12/2023,16:13:26,22:48:29
45,8/15/2023,-,-
45,8/16/2023,14:16:38,0:41:13
45,8/17/2023,12:32:49,0:40:15
45,8/18/2023,13:21:53,23:01:13
45,8/19/2023,14:03:18,22:34:24
45,8/21/2023,13:33:34,22:42:36
45,8/22/2023,-,-
46,08/01/2023,11:31:56,23:17:25
46,08/02/2023,11:50:22,22:10:55
46,08/03/2023,11:51:16,22:27:18
46,08/04/2023,12:11:19,21:49:11
46,08/05/2023,11:40:15,22:25:41
46,08/07/2023,12:10:52,-
46,08/08/2023,11:43:25,21:55:47
46,08/09/2023,11:31:28,22:37:03
46,08/10/2023,11:41:06,21:53:36
46,08/11/2023,11:30:05,22:23:26
46,08/12/2023,11:49:24,23:30:35
46,8/15/2023,12:59:04,22:23:22
46,8/16/2023,16:25:40,21:08:49
46,8/17/2023,11:41:02,20:33:13
46,8/18/2023,12:02:11,21:28:59
46,8/19/2023,11:37:18,21:16:00
46,8/21/2023,11:40:17,-
46,8/22/2023,11:37:44,21:43:13
47,08/01/2023,12:06:24,1:37:16
47,08/02/2023,11:04:05,19:56:11
47,08/03/2023,12:13:55,20:00:00
47,08/04/2023,11:31:40,20:01:35
47,08/05/2023,11:29:57,23:09:03
47,08/07/2023,11:26:58,19:58:39
47,08/08/2023,12:00:50,20:01:49
47,08/09/2023,11:51:09,20:00:31
47,08/10/2023,11:26:52,20:02:29
47,08/11/2023,11:32:04,20:15:52
47,08/12/2023,11:27:17,21:52:28
47,8/15/2023,11:53:40,20:10:43
